City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
673,Jacqueville,CI,75.9,Rain,5.2052,-4.4146,Hotel Le Martin Pecheur
677,Prado,BR,72.88,Clear,-17.3411,-39.2208,INN CORNER RIVER - PRADO - BAHIA - HOUSING AND HOTEL
678,Jalu,LY,83.61,Clear,29.0331,21.5482,صاحبة الفخامة
680,Laguna,US,80.31,Clear,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
681,Nushki,PK,76.42,Clear,29.5542,66.0215,Shams hotel
683,Plover,US,78.91,Clear,44.4564,-89.544,Hampton Inn Plover-Stevens Point
684,Chavakkad,IN,76.82,Clouds,10.5333,76.05,Rajah Island
686,Oistins,BB,82.49,Clouds,13.0667,-59.5333,Butterfly Beach Hotel
690,Atambua,ID,82.09,Clouds,-9.1061,124.8925,Kost Alfa Flat
693,Phulabani,IN,70.18,Clouds,20.4667,84.2333,Hotel Royal Plaza
698,Flagstaff,US,73.53,Clouds,35.1981,-111.6513,Drury Inn & Suites Flagstaff
699,Nishihara,JP,78.46,Clouds,26.1842,127.7558,Minshuku Agaihama
700,Tiarei,PF,84.22,Rain,-17.5333,-149.3333,Le Rocher de Tahiti
702,Boyolangu,ID,76.57,Clouds,-8.1181,111.8935,Yos ega cv
704,Doka,SD,70.07,Clouds,13.5167,35.7667,Um Rakuba Refugee Camp
